kid	pa	ma	pair
213	T057117_2009	T028543_2006	T028498_2006	T028543_2006--T028498_2006
214	T057120_2009	T028448_2006	T028484_2006	T028448_2006--T028484_2006
215	T057121_2009	T028652_2006	T028654_2006	T028652_2006--T028654_2006
216	T057126_2009	T028735_2006	T028758_2006	T028735_2006--T028758_2006
217	T057131_2009	T028522_2006	T028473_2006	T028522_2006--T028473_2006
218	T057133_2009	T028193_2006	T028182_2006	T028193_2006--T028182_2006
219	T057134_2009	T028727_2006	T028679_2006	T028727_2006--T028679_2006
220	T057408_2009	T028990_2006	T029021_2006	T028990_2006--T029021_2006
221	T057411_2009	T028955_2006	T028936_2006	T028955_2006--T028936_2006
222	T057412_2009	T028788_2006	T028655_2006	T028788_2006--T028655_2006
223	T057413_2009	T028631_2006	T028602_2006	T028631_2006--T028602_2006
224	T057414_2009	T028677_2006	T028560_2006	T028677_2006--T028560_2006
225	T057415_2009	T028264_2006	T028284_2006	T028264_2006--T028284_2006
226	T057417_2009	T030302_2007	T030358_2007	T030302_2007--T030358_2007
227	T057419_2009	T028552_2006	T028580_2006	T028552_2006--T028580_2006
228	T057427_2009	T027610_2006	T027645_2006	T027610_2006--T027645_2006
229	T057428_2009	T028349_2006	T028388_2006	T028349_2006--T028388_2006
230	T057429_2009	T028775_2006	T028684_2006	T028775_2006--T028684_2006
231	T057430_2009	T028621_2006	T028792_2006	T028621_2006--T028792_2006
232	T057431_2009	T029972_2007	T030283_2007	T029972_2007--T030283_2007
233	T057433_2009	T028192_2006	T028189_2006	T028192_2006--T028189_2006
234	T057435_2009	T027608_2006	T027666_2006	T027608_2006--T027666_2006
235	T057437_2009	T028351_2006	T028370_2006	T028351_2006--T028370_2006
236	T057438_2009	T028290_2006	T028280_2006	T028290_2006--T028280_2006
237	T058412_2009	T028732_2006	T028767_2006	T028732_2006--T028767_2006
238	T058413_2009	T028725_2006	T028759_2006	T028725_2006--T028759_2006
239	T058417_2009	T028947_2006	T028966_2006	T028947_2006--T028966_2006
240	T058420_2009	T028522_2006	T028473_2006	T028522_2006--T028473_2006
241	T058422_2009	T028990_2006	T029021_2006	T028990_2006--T029021_2006
242	T058440_2009	T028272_2006	T028256_2006	T028272_2006--T028256_2006
243	T058449_2009	T028195_2006	T028190_2006	T028195_2006--T028190_2006
244	T058452_2009	T028732_2006	T028767_2006	T028732_2006--T028767_2006
245	T058460_2009	T028863_2006	T028890_2006	T028863_2006--T028890_2006
246	T058463_2009	T027615_2006	T027646_2006	T027615_2006--T027646_2006
247	T058464_2009	T028525_2006	T028424_2006	T028525_2006--T028424_2006
248	T058465_2009	T028804_2006	T028835_2006	T028804_2006--T028835_2006
249	T058466_2009	T028515_2006	T028468_2006	T028515_2006--T028468_2006
250	T058468_2009	T028955_2006	T028936_2006	T028955_2006--T028936_2006
251	T058469_2009	T027512_2006	T027522_2006	T027512_2006--T027522_2006
252	T058474_2009	T028551_2006	T028582_2006	T028551_2006--T028582_2006
253	T058476_2009	T028645_2006	T028713_2006	T028645_2006--T028713_2006
254	T058481_2009	T028727_2006	T028679_2006	T028727_2006--T028679_2006
255	T058482_2009	T028902_2006	T028923_2006	T028902_2006--T028923_2006
256	T057141_2009	T028895_2006	T028926_2006	T028895_2006--T028926_2006
257	T057142_2009	T029593_2007	T029661_2007	T029593_2007--T029661_2007
258	T057143_2009	T028622_2006	T028598_2006	T028622_2006--T028598_2006
259	T057144_2009	T028843_2006	T028854_2006	T028843_2006--T028854_2006
260	T057145_2009	T028526_2006	T028474_2006	T028526_2006--T028474_2006
261	T057146_2009	T027604_2006	T027665_2006	T027604_2006--T027665_2006
262	T057147_2009	T028160_2006	T027628_2006	T028160_2006--T027628_2006
263	T057148_2009	T029972_2007	T030283_2007	T029972_2007--T030283_2007
264	T057149_2009	T028407_2006	T028435_2006	T028407_2006--T028435_2006
265	T057150_2009	T029833_2007	T029520_2007	T029833_2007--T029520_2007
266	T058484_2009	T028955_2006	T028936_2006	T028955_2006--T028936_2006
267	T058488_2009	T028293_2006	T028312_2006	T028293_2006--T028312_2006
268	T058489_2009	T028772_2006	T028769_2006	T028772_2006--T028769_2006
269	T058490_2009	T028444_2006	T028493_2006	T028444_2006--T028493_2006
270	T058499_2009	T030398_2007	T030348_2007	T030398_2007--T030348_2007
271	T058501_2009	T028900_2006	T028933_2006	T028900_2006--T028933_2006
272	T058503_2009	T029714_2007	T029586_2007	T029714_2007--T029586_2007
273	T058504_2009	T028645_2006	T028713_2006	T028645_2006--T028713_2006
274	T058505_2009	T028539_2006	T028571_2006	T028539_2006--T028571_2006
275	T058507_2009	T028563_2006	T028608_2006	T028563_2006--T028608_2006
276	T058508_2009	T028616_2006	T028779_2006	T028616_2006--T028779_2006
277	T058510_2009	T028528_2006	T028480_2006	T028528_2006--T028480_2006
278	T058511_2009	T028650_2006	T028647_2006	T028650_2006--T028647_2006
279	T058512_2009	T028319_2006	T028367_2006	T028319_2006--T028367_2006
